,,,,,,Total Rank,Upper,,,Lower,,,UP+LO,,Static,,,Couple,,,LRO-T OA,,,LRO-B OA,,,RRO1 OA,,,RRO2 OA,,,RRO3 OA,,,LRO-T 1st,,,LRO-B 1st,,,RRO1 1st,,,RRO2 1st,,,RRO3 1st,,,LRO-T 2nd,,,LRO-B 2nd,,,RRO1 2nd,,,RRO2 2nd,,,RRO3 2nd,,,LRO-T Nth,,,LRO-B Nth,,,RRO1 Nth,,,RRO2 Nth,,,RRO3 Nth,,,LRO-T Bulge,,,LRO-B Bulge,,,LRO-T Dent,,,LRO-B Dent,,,Circuly,,OuterDiameter1,,OuterDiameter2,,OuterDiameter3,,RO TOTAL,Meas.Pressure,Weight,,Width,
362112,2023/10/25,00:24:24,22,185/70R14           ,890854,A,36.033,33.6,A,21.521,89.5,A,57.555,A,51.304,54,A,29.85,357,A,0.536,221.6,A,0.553,291.5,A,0,0,A,1.195,339,A,0,0,A,0.258,214.9,A,0.224,359.5,A,0,0,A,0.892,14.1,A,0,0,A,0.099,102.7,A,0.264,206.7,A,0,0,A,0.188,309.6,A,0,0,A,0.034,102.7,A,0.026,206.7,A,0,0,A,0.038,309.6,A,0,0,A,0.587,325.5,A,0.424,217.4,A,0.441,71.7,A,0.505,200.9,A,0.298,A,0,A,612.227,A,0,A,A,0,0,OK,0,A
362113,2023/10/25,00:25:12,22,185/70R14           ,890440,A,36.971,78.3,A,12.204,181.6,A,49.175,A,36.16,97.5,A,41.522,61.7,A,0.886,88.4,A,0.739,166.7,A,0,0,A,0.828,344.7,A,0,0,A,0.436,92.2,A,0.176,186.2,A,0,0,A,0.534,50,A,0,0,A,0.277,153.3,A,0.38,319.9,A,0,0,A,0.156,313.7,A,0,0,A,0.015,153.3,A,0.035,319.9,A,0,0,A,0.081,313.7,A,0,0,A,0.49,7.6,A,1.172,5,E,0.441,0.9,A,0.924,13.4,A,0.347,A,0,A,612.508,A,0,A,E,0,0,OK,0,A
362114,2023/10/25,00:25:56,22,185/70R14           ,890441,A,24.604,37.4,A,17.491,122,A,42.095,A,31.504,70.9,A,28.811,0.2,A,0.702,84.8,A,0.701,135.9,A,0,0,A,0.865,355.3,A,0,0,A,0.034,17.5,A,0.365,127.5,A,0,0,A,0.659,27.6,A,0,0,A,0.332,143.9,A,0.24,285.8,A,0,0,A,0.088,25.7,A,0,0,A,0.093,143.9,A,0.067,285.8,A,0,0,A,0.043,22.7,A,0,0,A,1.123,3.2,E,0.927,2.7,A,0.747,355.3,A,0.773,353.8,A,0.247,A,0,A,612.311,A,0,A,E,0,0,OK,0,A
362115,2023/10/25,00:26:20,22,185/70R14           ,890541,A,0.934,17.9,A,4.933,1,A,5.868,A,5.834,3.7,A,4.049,177.2,A,0.76,242.9,A,0.561,203.4,A,0,0,A,0.797,339.4,A,0,0,A,0.455,214,A,0.372,246.9,A,0,0,A,0.495,349.5,A,0,0,A,0.14,149,A,0.144,311.2,A,0,0,A,0.139,252.7,A,0,0,A,0.058,149,A,0.02,311.2,A,0,0,A,0.042,252.7,A,0,0,A,0.535,83.3,A,0.744,77.6,A,0.394,87.2,A,0.762,69.1,A,0.331,A,0,A,612.747,A,0,A,A,0,0,OK,0,A
362116,2023/10/25,00:26:51,22,185/70R14           ,890438,A,24.243,34.3,A,31.931,329.9,A,56.174,A,47.72,357.2,A,30.616,104.4,A,0.425,101.4,A,0.705,143.3,A,0,0,A,0.679,34.4,A,0,0,A,0.092,164.4,A,0.221,63.6,A,0,0,A,0.504,43.1,A,0,0,A,0.133,179.6,A,0.311,344.2,A,0,0,A,0.031,104,A,0,0,A,0.025,179.6,A,0.041,344.2,A,0,0,A,0.023,103.4,A,0,0,A,0.751,4.7,A,0.707,4.3,A,0.499,12,A,0.483,241.6,A,0.209,A,0,A,612.434,A,0,A,A,0,0,OK,0,A
362117,2023/10/25,00:27:21,22,185/70R14           ,890847,A,14.267,23.6,A,13.534,175.6,A,27.801,A,6.775,93.6,A,26.973,10,A,0.43,86.1,A,0.6,172.1,A,0,0,A,0.719,344.7,A,0,0,A,0.034,44.7,A,0.165,192.6,A,0,0,A,0.498,348.3,A,0,0,A,0.187,180.9,A,0.257,3.4,A,0,0,A,0.067,218.1,A,0,0,A,0.06,180.9,A,0.037,3.4,A,0,0,A,0.06,219.7,A,0,0,A,0.536,4.9,A,0.699,4,A,0.426,108.4,A,0.622,74.1,A,0.199,A,0,A,612.093,A,0,A,A,0,0,OK,0,A
362118,2023/10/25,00:27:50,22,185/70R14           ,890839,A,23.711,342.9,A,23.057,269.6,A,46.768,A,37.542,306.9,A,27.898,35.2,A,0.414,260.1,A,0.743,218.8,A,0,0,A,0.577,340.8,A,0,0,A,0.186,230.7,A,0.603,223.3,A,0,0,A,0.457,360,A,0,0,A,0.208,167.5,A,0.162,4.4,A,0,0,A,0.048,180.4,A,0,0,A,0.051,167.5,A,0.071,4.4,A,0,0,A,0.054,179.9,A,0,0,A,0.611,63.1,A,0.586,1.8,A,0.49,71.8,A,0.537,72.6,A,0.21,A,0,A,612.612,A,0,A,A,0,0,OK,0,A
362119,2023/10/25,00:28:17,22,185/70R14           ,890659,A,13.45,352.6,A,17.033,349.2,A,30.484,A,30.47,350.7,A,3.699,156.4,A,0.614,173.1,A,0.799,137.7,A,0,0,A,0.875,344.9,A,0,0,A,0.4,189.4,A,0.522,187.8,A,0,0,A,0.697,6.9,A,0,0,A,0.134,156.6,A,0.193,305.3,A,0,0,A,0.009,103.7,A,0,0,A,0.07,156.6,A,0.033,305.3,A,0,0,A,0.042,118.7,A,0,0,A,0.512,17.9,A,0.611,353.6,A,0.418,13.4,A,0.62,14.9,A,0.284,A,0,A,612.607,A,0,A,A,0,0,OK,0,A
362120,2023/10/25,00:28:45,22,185/70R14           ,890439,A,20.104,107.7,A,19.637,203.5,A,39.74,A,26.666,154.9,A,29.469,66.2,A,0.568,84.6,A,0.792,158.2,A,0,0,A,0.779,356.8,A,0,0,A,0.204,127.4,A,0.48,203.3,A,0,0,A,0.574,33.7,A,0,0,A,0.203,155.3,A,0.241,326.5,A,0,0,A,0.008,1.8,A,0,0,A,0.029,155.3,A,0.04,326.5,A,0,0,A,0.102,57.1,A,0,0,A,0.737,1.8,A,0.731,1.8,A,0.496,42.9,A,0.538,72.6,A,0.281,A,0,A,612.298,A,0,A,A,0,0,OK,0,A
362121,2023/10/25,00:29:14,22,185/70R14           ,890437,A,29.444,46.5,A,21.174,90.8,A,50.618,A,46.983,64.8,A,20.57,0.5,A,0.659,73.7,A,0.546,354.4,A,0,0,A,0.647,72.4,A,0,0,A,0.19,141.2,A,0.297,0.2,A,0,0,A,0.48,13.4,A,0,0,A,0.263,112.1,A,0.161,11.9,A,0,0,A,0.11,205.9,A,0,0,A,0.02,112.1,A,0.016,11.9,A,0,0,A,0.108,205.9,A,0,0,A,0.55,357.5,A,0.769,356,A,0.515,99.3,A,0.507,88.2,A,0.276,A,0,A,612.147,A,0,A,A,0,0,OK,0,A
362122,2023/10/25,00:29:42,22,185/70R14           ,890544,A,20.438,26.1,A,10.034,303.3,A,30.472,A,23.867,1.4,A,21.614,53.5,A,0.532,247.1,A,0.774,170.4,A,0,0,A,0.875,344,A,0,0,A,0.265,309.6,A,0.372,191.1,A,0,0,A,0.602,12.8,A,0,0,A,0.17,142.8,A,0.223,16.1,A,0,0,A,0.13,199.7,A,0,0,A,0.059,142.8,A,0.064,16.1,A,0,0,A,0.073,199.7,A,0,0,A,0.627,3.9,A,0.565,3.4,A,0.443,356.4,A,0.489,272.9,A,0.307,A,0,A,612.433,A,0,A,A,0,0,OK,0,A
362123,2023/10/25,00:30:09,22,185/70R14           ,890845,A,9.772,276.1,A,14.713,3.1,A,24.486,A,18.085,330.4,A,17.23,217.6,A,0.732,249.4,A,0.706,137.6,A,0,0,A,0.721,339.4,A,0,0,A,0.183,268,A,0.153,227.7,A,0,0,A,0.548,5.4,A,0,0,A,0.143,151.8,A,0.254,306.9,A,0,0,A,0.109,177.2,A,0,0,A,0.079,151.8,A,0.055,306.9,A,0,0,A,0.021,177.2,A,0,0,A,0.567,172.1,A,0.646,2.5,A,0.489,10.5,A,0.571,357.4,A,0.229,A,0,A,612.155,A,0,A,A,0,0,OK,0,A
362124,2023/10/25,00:31:27,22,185/70R14           ,890532,A,29.262,19.4,A,1.128,181.8,A,30.39,A,28.188,20.1,A,30.34,18.7,A,0.609,256.6,A,0.676,140.3,A,0,0,A,0.931,341.6,A,0,0,A,0.31,272.2,A,0.419,124.5,A,0,0,A,0.589,9,A,0,0,A,0.229,120.8,A,0.197,18.5,A,0,0,A,0.152,311.9,A,0,0,A,0.041,120.8,A,0.122,18.5,A,0,0,A,0.086,313,A,0,0,A,0.555,164,A,0.444,166.1,A,0.428,160,A,0.47,77,A,0.384,A,0,A,612.349,A,0,A,A,0,0,OK,0,A
362125,2023/10/25,00:31:54,22,185/70R14           ,890537,A,29.338,22.5,A,6.597,139.6,A,35.935,A,26.987,35.1,A,32.866,12.2,A,0.549,85.2,A,0.464,138.4,A,0,0,A,0.873,338.8,A,0,0,A,0.137,332.7,A,0.09,80.5,A,0,0,A,0.626,354.7,A,0,0,A,0.166,125.2,A,0.253,304.8,A,0,0,A,0.062,346.1,A,0,0,A,0.074,125.2,A,0.037,304.8,A,0,0,A,0.049,346.1,A,0,0,A,0.535,194.8,A,0.513,180.4,A,0.48,186.4,A,0.521,159.7,A,0.244,A,0,A,612.751,A,0,A,A,0,0,OK,0,A
362126,2023/10/25,00:32:21,22,185/70R14           ,890843,A,17.085,46.9,A,19.373,67.3,A,36.458,A,35.887,57.8,A,6.825,307.9,A,0.366,185.8,A,0.469,127.6,A,0,0,A,0.787,344.7,A,0,0,A,0.124,297.2,A,0.259,141,A,0,0,A,0.579,16.4,A,0,0,A,0.107,332.9,A,0.041,83.2,A,0,0,A,0.111,311.7,A,0,0,A,0.04,332.9,A,0.04,83.2,A,0,0,A,0.027,310.2,A,0,0,A,0.726,3.5,A,0.449,340,A,0.491,358.2,A,0.515,75,A,0.26,A,0,A,612.113,A,0,A,A,0,0,OK,0,A
362127,2023/10/25,00:32:49,22,185/70R14           ,890856,A,26.854,56.7,A,12.093,62.7,A,38.946,A,38.9,58.6,A,14.881,51.8,A,0.664,232.3,A,0.938,159.5,A,0,0,A,0.734,10.9,A,0,0,A,0.284,199.2,A,0.407,174.3,A,0,0,A,0.621,23.6,A,0,0,A,0.18,166.1,A,0.336,0,A,0,0,A,0.121,57.3,A,0,0,A,0.042,166.1,A,0.041,0,A,0,0,A,0.026,57.3,A,0,0,A,0.615,2.1,A,0.718,2.5,A,0.508,8.7,A,0.562,265.4,A,0.233,A,0,A,612.152,A,0,A,A,0,0,OK,0,A
362128,2023/10/25,00:33:17,22,185/70R14           ,890449,A,34.618,58.7,A,17.437,49.6,A,52.055,A,51.909,55.6,A,17.617,67.7,A,0.488,79.2,A,0.84,153.1,A,0,0,A,0.697,77.9,A,0,0,A,0.259,36.4,A,0.456,156.1,A,0,0,A,0.574,36.3,A,0,0,A,0.191,128.6,A,0.204,6.3,A,0,0,A,0.102,23.2,A,0,0,A,0.013,128.6,A,0.029,6.3,A,0,0,A,0.107,23.2,A,0,0,A,0.695,0.2,A,1.003,357.8,A,0.465,6,A,0.819,349.3,A,0.275,A,0,A,612.283,A,0,A,A,0,0,OK,0,A
362129,2023/10/25,00:33:48,22,185/70R14           ,890852,A,23.341,49.7,A,23.769,82.2,A,47.11,A,45.23,66.1,A,13.183,334.2,A,0.53,249.9,A,0.827,140.3,A,0,0,A,0.582,79.1,A,0,0,A,0.302,212.5,A,0.457,144.4,A,0,0,A,0.51,47.8,A,0,0,A,0.147,177.1,A,0.281,6.6,A,0,0,A,0.029,97.7,A,0,0,A,0.069,177.1,A,0.034,6.6,A,0,0,A,0.073,92.2,A,0,0,A,0.603,5.5,A,0.623,6.2,A,0.451,358.2,A,0.491,290,A,0.155,A,0,A,612.18,A,0,A,A,0,0,OK,0,A
362130,2023/10/25,00:34:35,22,185/70R14           ,890436,A,31.38,57.9,A,38.9,82.1,A,70.28,A,68.746,71.3,A,16.427,313.4,A,0.473,61.6,A,0.806,151.9,A,0,0,A,0.93,57.4,A,0,0,A,0.114,54.4,A,0.355,141.9,A,0,0,A,0.654,44.3,A,0,0,A,0.23,93.7,A,0.314,312.4,A,0,0,A,0.125,13.3,A,0,0,A,0.02,93.7,A,0.051,312.4,A,0,0,A,0.088,13.3,A,0,0,A,0.721,359.4,A,1.076,358.9,E,0.657,5.4,A,0.757,6.9,A,0.287,A,0,A,612.089,A,0,A,E,0,0,OK,0,A
362131,2023/10/25,00:34:59,22,185/70R14           ,890851,A,13.941,329.7,A,14.701,166,A,28.642,A,4.127,237.4,A,28.353,338.1,A,0.618,191.7,A,0.913,152,A,0,0,A,0.815,341.7,A,0,0,A,0.18,315.6,A,0.548,194.1,A,0,0,A,0.355,4.6,A,0,0,A,0.122,103.2,A,0.21,272.2,A,0,0,A,0.22,288.5,A,0,0,A,0.071,103.2,A,0.074,272.2,A,0,0,A,0.052,288.5,A,0,0,A,0.529,5.5,A,0.732,5.2,A,0.455,1.1,A,0.624,359.6,A,0.451,A,0,A,612.205,A,0,A,A,0,0,OK,0,A
362132,2023/10/25,00:35:29,22,185/70R14           ,890850,A,21.656,344.2,A,16.888,322.7,A,38.544,A,37.875,334.8,A,8.595,30.4,A,0.503,177.7,A,0.559,16.3,A,0,0,A,0.696,13.7,A,0,0,A,0.277,168,A,0.137,304.5,A,0,0,A,0.615,16.5,A,0,0,A,0.04,141.6,A,0.059,52.4,A,0,0,A,0.057,339.9,A,0,0,A,0.053,141.6,A,0.039,52.4,A,0,0,A,0.019,339.9,A,0,0,A,0.462,300.6,A,0.514,160.1,A,0.407,144.3,A,0.522,163.8,A,0.153,A,0,A,612.2,A,0,A,A,0,0,OK,0,A
362133,2023/10/25,00:35:58,22,185/70R14           ,890543,A,7.573,317.6,A,17.541,332.8,A,25.114,A,24.928,328.3,A,10.425,163.8,A,0.553,242.3,A,0.652,319,A,0,0,A,0.841,306.4,A,0,0,A,0.173,228.7,A,0.487,255.8,A,0,0,A,0.591,346.8,A,0,0,A,0.169,147.1,A,0.181,329.3,A,0,0,A,0.125,148.2,A,0,0,A,0.054,147.1,A,0.02,329.3,A,0,0,A,0.029,148.4,A,0,0,A,0.436,104.8,A,0.488,85,A,0.455,102.4,A,0.498,73.2,A,0.271,A,0,A,612.71,A,0,A,A,0,0,OK,0,A
362134,2023/10/25,00:36:25,22,185/70R14           ,890542,A,39.511,57.8,A,16.019,93.4,A,55.53,A,53.362,67.9,A,28.07,38.5,A,0.482,49.8,A,0.663,161.3,A,0,0,A,1.087,340.9,A,0,0,A,0.121,53.5,A,0.4,165.9,A,0,0,A,0.545,16.8,A,0,0,A,0.095,97,A,0.114,5.2,A,0,0,A,0.212,305.4,A,0,0,A,0.021,97,A,0.027,5.2,A,0,0,A,0.121,304.5,A,0,0,A,0.673,359.1,A,0.609,359.6,A,0.672,273.4,A,0.512,261,A,0.518,A,0,A,612.608,A,0,A,A,0,0,OK,0,A
362135,2023/10/25,00:36:54,22,185/70R14           ,890842,A,26.535,118.6,A,20.734,39.1,A,47.269,A,36.529,84.7,A,30.555,160.5,A,0.635,248.4,A,0.695,144.4,A,0,0,A,1.052,19.6,A,0,0,A,0.378,226,A,0.324,106.8,A,0,0,A,0.887,27.4,A,0,0,A,0.17,132.4,A,0.197,316.3,A,0,0,A,0.059,63.6,A,0,0,A,0.032,132.4,A,0.057,316.3,A,0,0,A,0.074,63.6,A,0,0,A,0.764,6,A,0.919,7.7,A,0.464,358.2,A,0.613,0.6,A,0.244,A,0,A,612.155,A,0,A,A,0,0,OK,0,A
362136,2023/10/25,00:37:21,22,185/70R14           ,890841,A,11.146,52.9,A,19.929,323.1,A,31.075,A,22.877,352.3,A,22.792,113.8,A,0.527,69.9,A,0.874,161.9,A,0,0,A,0.659,359.9,A,0,0,A,0.288,137,A,0.37,191.3,A,0,0,A,0.497,36.5,A,0,0,A,0.219,117.9,A,0.186,301,A,0,0,A,0.141,24.8,A,0,0,A,0.053,117.9,A,0.051,301,A,0,0,A,0.072,24.8,A,0,0,A,0.722,2.5,A,0.692,2.1,A,0.499,152.5,A,0.68,356,A,0.322,A,0,A,612.302,A,0,A,A,0,0,OK,0,A
362137,2023/10/25,00:37:49,22,185/70R14           ,890448,A,26.386,42.3,A,19.463,34.3,A,45.85,A,45.741,38.9,A,7.607,63.1,A,0.893,75.1,A,0.686,149.4,A,0,0,A,0.919,63.2,A,0,0,A,0.469,70,A,0.411,183.5,A,0,0,A,0.643,47.2,A,0,0,A,0.228,147.5,A,0.043,8.8,A,0,0,A,0.1,278.6,A,0,0,A,0.028,147.5,A,0.033,8.8,A,0,0,A,0.071,278.4,A,0,0,A,0.833,357.6,A,0.801,357.3,A,0.497,3.3,A,0.541,350.4,A,0.308,A,0,A,612.276,A,0,A,A,0,0,OK,0,A
362138,2023/10/25,00:38:16,22,185/70R14           ,890442,A,11.608,15,A,23.346,351.8,A,34.954,A,34.318,359.4,A,13.485,151.9,A,0.581,261.5,A,0.952,151.7,A,0,0,A,0.59,17.7,A,0,0,A,0.132,249.6,A,0.641,188.7,A,0,0,A,0.313,37.5,A,0,0,A,0.256,160.4,A,0.206,297.8,A,0,0,A,0.09,312.5,A,0,0,A,0.061,160.4,A,0.046,297.8,A,0,0,A,0.062,308.2,A,0,0,A,0.571,352.5,A,0.857,2.6,A,0.501,356.2,A,0.611,344.4,A,0.269,A,0,A,612.423,A,0,A,A,0,0,OK,0,A
362139,2023/10/25,00:43:24,22,185/70R14           ,890447,A,35.294,42,A,19.188,69.4,A,54.482,A,53.064,51.6,A,20.296,16.2,A,0.806,80.8,A,0.881,156.3,A,0,0,A,0.813,19.3,A,0,0,A,0.325,79.8,A,0.611,184.7,A,0,0,A,0.64,35.2,A,0,0,A,0.207,139.4,A,0.198,294.9,A,0,0,A,0.141,284.2,A,0,0,A,0.048,139.4,A,0.075,294.9,A,0,0,A,0.103,284.2,A,0,0,A,0.471,340.5,A,0.806,357.4,A,0.41,354.4,A,0.629,351.8,A,0.359,A,0,A,612.293,A,0,A,A,0,0,OK,0,A
362140,2023/10/25,00:43:51,22,185/70R14           ,890855,A,31.701,5.6,A,17.391,81.2,A,49.092,A,39.782,30.7,A,32.128,334,A,0.735,222,A,0.777,107.6,A,0,0,A,0.718,336.1,A,0,0,A,0.378,225.2,A,0.381,115.8,A,0,0,A,0.561,8.5,A,0,0,A,0.091,195.5,A,0.339,265.3,A,0,0,A,0.156,265.3,A,0,0,A,0.055,195.5,A,0.056,265.3,A,0,0,A,0.028,265.3,A,0,0,A,0.679,337.3,A,0.558,337.9,A,0.691,341.4,A,0.495,211.6,A,0.238,A,0,A,612.18,A,0,A,A,0,0,OK,0,A
362141,2023/10/25,00:44:42,22,185/70R14           ,890443,A,14.339,66.5,A,9.905,45.6,A,24.244,A,23.856,58,A,6.188,101.3,A,0.83,232.2,A,1.09,169.8,A,0,0,A,0.765,77,A,0,0,A,0.155,218.9,A,0.693,167.8,A,0,0,A,0.611,29.4,A,0,0,A,0.344,129,A,0.4,303.4,A,0,0,A,0.071,148.6,A,0,0,A,0.079,129,A,0.023,303.4,A,0,0,A,0.088,148.6,A,0,0,A,0.602,4,A,0.549,292.4,A,0.621,74.7,A,0.667,75.1,A,0.234,A,0,A,612.096,A,0,A,A,0,0,OK,0,A
362142,2023/10/25,00:45:10,22,185/70R14           ,890848,A,28.565,49.1,A,17.007,11.7,A,45.572,A,43.332,35.3,A,18.242,83.5,A,0.686,86.2,A,0.858,13.1,A,0,0,A,0.775,346.9,A,0,0,A,0.429,160.5,A,0.478,6.7,A,0,0,A,0.636,23.1,A,0,0,A,0.064,151,A,0.135,234.7,A,0,0,A,0.137,5.6,A,0,0,A,0.078,151,A,0.021,234.7,A,0,0,A,0.032,5.6,A,0,0,A,0.508,307.9,A,0.446,162.7,A,0.434,300.1,A,0.484,144.1,A,0.244,A,0,A,612.031,A,0,A,A,0,0,OK,0,A
362143,2023/10/25,00:45:37,22,185/70R14           ,890849,A,21.38,305,A,6.676,264.7,A,28.055,A,26.821,295.7,A,16.851,319.8,A,0.659,36,A,0.706,237.7,A,0,0,A,0.663,309.4,A,0,0,A,0.249,338.3,A,0.3,220.8,A,0,0,A,0.54,344.2,A,0,0,A,0.232,80.4,A,0.212,234.4,A,0,0,A,0.049,16.3,A,0,0,A,0.024,80.4,A,0.077,234.4,A,0,0,A,0.04,19.5,A,0,0,A,0.733,332.2,A,0.698,330.5,A,0.453,336.9,A,0.578,15.1,A,0.233,A,0,A,612.19,A,0,A,A,0,0,OK,0,A
